1;10;10;0.000019
4;10;10;0.020090
8;10;10;0.027703
1;10;100;0.000035
4;10;100;0.137848
8;10;100;0.194875
1;10;1000;0.000175
4;10;1000;1.293149
8;10;1000;1.788398
1;100;10;0.000034
4;100;10;0.019857
8;100;10;0.027851
1;100;100;0.000141
4;100;100;0.138010
8;100;100;0.182910
1;100;1000;0.001219
4;100;1000;1.136477
8;100;1000;1.709212
1;1000;10;0.000158
4;1000;10;0.019914
8;1000;10;0.028009
1;1000;100;0.001206
4;1000;100;0.135474
8;1000;100;0.185789
1;1000;1000;0.011389
4;1000;1000;1.294206
8;1000;1000;1.817942
1;10000;10;0.001499
4;10000;10;0.021383
8;10000;10;0.028674
1;10000;100;0.012157
4;10000;100;0.174131
8;10000;100;0.230597
1;10000;1000;0.114646
4;10000;1000;1.490682
8;10000;1000;2.173519
1;100000;10;0.014960
4;100000;10;0.035167
8;100000;10;0.040381
1;100000;100;0.123723
4;100000;100;0.205812
8;100000;100;0.259055
1;100000;1000;1.157362
4;100000;1000;1.728757
8;100000;1000;2.021183
1;1000000;10;0.150335
4;1000000;10;0.112774
8;1000000;10;0.118404
1;1000000;100;1.250962
4;1000000;100;0.520489
8;1000000;100;0.429534
1;1000000;1000;11.681339
4;1000000;1000;4.314330
8;1000000;1000;3.405434
1;10;10;0.000017
4;10;10;0.021083
8;10;10;0.025835
1;10;100;0.000030
4;10;100;0.127925
8;10;100;0.174345
1;10;1000;0.000174
4;10;1000;1.235296
8;10;1000;1.867860
1;100;10;0.000033
4;100;10;0.021275
8;100;10;0.030158
1;100;100;0.000142
4;100;100;0.138585
8;100;100;0.179655
1;100;1000;0.001221
4;100;1000;1.300419
8;100;1000;1.880740
1;1000;10;0.000160
4;1000;10;0.020606
8;1000;10;0.026919
1;1000;100;0.001215
4;1000;100;0.145066
8;1000;100;0.197558
1;1000;1000;0.011479
4;1000;1000;1.374737
8;1000;1000;1.893151
1;10000;10;0.001499
4;10000;10;0.020450
8;10000;10;0.031274
1;10000;100;0.012163
4;10000;100;0.139072
8;10000;100;0.180872
1;10000;1000;0.114433
4;10000;1000;1.367596
8;10000;1000;1.777454
1;100000;10;0.014975
4;100000;10;0.028347
8;100000;10;0.034727
1;100000;100;0.124409
4;100000;100;0.173139
8;100000;100;0.205352
1;100000;1000;1.157000
4;100000;1000;1.664848
8;100000;1000;2.433849
1;1000000;10;0.150361
4;1000000;10;0.111094
8;1000000;10;0.110536
1;1000000;100;1.251878
4;1000000;100;0.532331
8;1000000;100;0.439335
1;1000000;1000;11.679366
4;1000000;1000;4.318448
8;1000000;1000;3.367115
1;10;10;0.000017
4;10;10;0.018631
8;10;10;0.027688
1;10;100;0.000033
4;10;100;0.136539
8;10;100;0.192291
1;10;1000;0.000172
4;10;1000;1.497761
8;10;1000;1.914136
1;100;10;0.000030
4;100;10;0.020312
8;100;10;0.034677
1;100;100;0.000147
4;100;100;0.138484
8;100;100;0.200384
1;100;1000;0.001222
4;100;1000;1.306054
8;100;1000;1.809295
1;1000;10;0.000160
4;1000;10;0.019776
8;1000;10;0.033916
1;1000;100;0.001272
4;1000;100;0.136445
8;1000;100;0.187356
1;1000;1000;0.011423
4;1000;1000;1.238378
8;1000;1000;1.746565
1;10000;10;0.001496
4;10000;10;0.019150
8;10000;10;0.027342
1;10000;100;0.012248
4;10000;100;0.130786
8;10000;100;0.187189
1;10000;1000;0.115250
4;10000;1000;1.336506
8;10000;1000;1.770782
1;100000;10;0.015200
4;100000;10;0.028191
8;100000;10;0.035533
1;100000;100;0.125008
4;100000;100;0.160966
8;100000;100;0.218135
1;100000;1000;1.165670
4;100000;1000;1.568726
8;100000;1000;1.896038
1;1000000;10;0.150659
4;1000000;10;0.105668
8;1000000;10;0.103391
1;1000000;100;1.253818
4;1000000;100;0.489878
8;1000000;100;0.418161
1;1000000;1000;11.714036
4;1000000;1000;4.349814
8;1000000;1000;3.414483
1;10;10;0.000017
4;10;10;0.019270
8;10;10;0.027383
1;10;100;0.000032
4;10;100;0.130162
8;10;100;0.177324
1;10;1000;0.000174
4;10;1000;1.258699
8;10;1000;1.911465
1;100;10;0.000032
4;100;10;0.018134
8;100;10;0.028419
1;100;100;0.000144
4;100;100;0.127965
